bus,wind_offshore,CCGT,nuclear,EU_import,wind_onshore,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,advanced_biofuel,biogas,large_hydro,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
HVDC_External_France_Calais,0.0,0.0,0.0,15602271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Ireland_Rush_North_Beach,0.0,0.0,0.0,240997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Netherlands_Maasvlakte,0.0,0.0,0.0,4203295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Norway_Kvilldal,0.0,0.0,0.0,8944639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harker,612150.92,0.0,0.0,0.0,1336658.46,0.0,50187.54,25763.29,0.0,0.0,0.0,46078.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Keadby,6226173.44,2349943.8,0.0,0.0,1157321.34,169986.65,295853.79,189800.29,907789.49,0.0,244342.21,163134.48,0.0,13501.2,0.0,0.0,0.0,0.0,0.0,0.06
Kemsley,515379.47,2397749.88,0.0,0.0,329542.93,841159.3,308180.88,346505.68,0.0,0.0,0.0,15116.39,0.0,96435.91,0.0,0.0,0.0,0.0,0.0,0.05
London,0.0,815060.29,0.0,0.0,39999.34,4261851.02,95492.54,587941.11,113070.75,0.0,28334.56,129608.39,0.0,16130.06,0.0,185350.12,0.0,0.0,11.29,0.06
Lovedean,1746194.64,1622316.19,0.0,0.0,0.0,495849.17,474382.25,185889.29,0.0,0.0,26265.12,50808.61,0.0,13943.39,0.0,0.0,0.0,0.0,11.11,0.06
Melksham,0.0,6236453.33,0.0,0.0,2336206.47,964039.54,1734370.34,417266.33,0.0,0.0,401917.35,211166.95,0.0,97995.83,0.0,56283.57,0.0,0.0,0.0,0.06
Neilston,0.0,0.0,0.0,0.0,3011446.49,535722.5,3864.6,139811.15,0.0,0.0,51619.83,42233.57,0.0,0.0,50425.22,0.0,0.0,0.0,4.15,0.03
Pelham,0.0,1066241.8,0.0,0.0,131635.77,399168.73,566185.2,164982.73,0.0,0.0,71599.95,109353.99,0.0,26359.58,0.0,0.0,0.0,0.0,0.0,0.05
Penwortham,7490916.12,119847.85,8072351.1,0.0,703970.31,0.0,102104.64,425619.55,0.0,0.0,0.0,38638.73,0.0,1066.74,0.0,0.0,0.0,0.0,0.0,0.04
Peterhead,4811628.01,433439.53,0.0,0.0,2335604.23,41687.95,10334.76,31857.2,0.0,0.0,0.0,17741.44,0.0,0.0,0.0,0.0,0.0,18999.9,10.84,0.06
Ratcliffe,0.0,10046191.0,0.0,0.0,444761.7,445845.13,563936.3,295107.96,185082.78,0.0,426888.26,132695.68,0.0,9098.33,6701.09,0.0,0.0,0.0,0.0,0.05
S.W.Penisula,0.0,4240780.86,0.0,0.0,989986.28,581687.05,1857571.93,352823.31,226623.77,0.0,112563.02,214167.55,0.0,11467.87,0.0,0.0,117709.58,0.0,11.46,0.08
Sellindge,1410597.87,0.0,0.0,0.0,263913.51,0.0,201973.64,113931.85,0.0,0.0,0.0,9165.54,0.0,30805.54,0.0,0.0,0.0,0.0,0.0,0.04
Stella West,388472.01,217541.62,7714302.44,0.0,1194608.61,1114075.64,68539.08,265903.29,0.0,0.0,0.0,148349.22,0.0,27117.53,0.0,47310.25,0.0,0.0,0.0,0.08
Strathaven,0.0,0.0,0.0,0.0,4552918.85,0.0,1131.65,104735.99,0.0,0.0,290973.27,0.0,0.0,40011.44,0.0,0.0,0.0,0.0,0.0,0.05
Sundon/East Claydon,0.0,1853959.28,0.0,0.0,508464.78,996179.25,551323.84,562487.57,0.0,0.0,57560.42,112464.69,0.0,33952.71,0.0,0.0,0.0,0.0,0.0,0.06
Th. Marsh/Stocksbridge,0.0,0.0,0.0,0.0,256512.24,275579.33,139497.5,89778.81,75923.13,0.0,0.0,119147.11,0.0,19140.48,0.0,24922.08,0.0,0.0,0.0,0.07
Thornton/Drax/Eggborough,0.0,5353553.81,0.0,0.0,917238.14,2631652.86,101010.5,131600.04,39767.77,0.0,0.0,130344.51,0.0,77997.05,0.0,0.0,0.0,0.0,0.0,0.05
Torness,4475153.83,0.0,7811950.64,0.0,3191847.29,285528.27,26757.49,157383.05,0.0,0.0,0.0,16978.65,0.0,28108.79,0.0,0.0,0.0,0.0,0.0,0.02
Walpole,18928886.9,0.0,0.0,0.0,1019859.24,526678.65,519286.95,77287.7,0.0,0.0,78726.81,283121.06,0.0,2229.48,0.0,0.0,0.0,0.0,0.0,0.05
